product_id,user_id,full_price,discount_percentage,discount_price,price_after_discount
B07JW9H4J1,AG3D6O4STAQKAY2UVGEUV46KN35Q,1099.0,0.64,700.0,399.0
B07JW9H4J1,AHMY5CWJMMK5BJRBBSNLYT3ONILA,1099.0,0.64,700.0,399.0
B07JW9H4J1,AHCTC6ULH4XB6YHDY6PCH2R772LQ,1099.0,0.64,700.0,399.0
B07JW9H4J1,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,1099.0,0.64,700.0,399.0
B07JW9H4J1,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,1099.0,0.64,700.0,399.0
B07JW9H4J1,AENGU523SXMOS7JPDTW52PNNVWGQ,1099.0,0.64,700.0,399.0
B07JW9H4J1,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,1099.0,0.64,700.0,399.0
B07JW9H4J1,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,1099.0,0.64,700.0,399.0
B098NS6PVG,AECPFYFQVRUWC3KGNLJIOREFP5LQ,349.0,0.43,150.0,199.0
B098NS6PVG,AGYYVPDD7YG7FYNBXNGXZJT525AQ,349.0,0.43,150.0,199.0
B098NS6PVG,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,349.0,0.43,150.0,199.0
B098NS6PVG,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,349.0,0.43,150.0,199.0
B098NS6PVG,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,349.0,0.43,150.0,199.0
B098NS6PVG,AEPSWFPNECKO34PUC7I56ITGXR6Q,349.0,0.43,150.0,199.0
B098NS6PVG,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,349.0,0.43,150.0,199.0
B098NS6PVG,AH4QT33M55677I7ISQOAKEQWACYQ,349.0,0.43,150.0,199.0
B096MSW6CT,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,1899.0,0.9,1700.0,199.0
B096MSW6CT,AESFLDV2PT363T2AQLWQOWZ4N3OA,1899.0,0.9,1700.0,199.0
B096MSW6CT,AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,1899.0,0.9,1700.0,199.0
B096MSW6CT,AEUVWXYP5LT7PZLLZENEO2NODPBQ,1899.0,0.9,1700.0,199.0
